
time,A3417,
76,0.427165,
76.5,0.426864,
76.9999,0.426086,
77.4999,0.427176,
77.9999,0.427637,
78.5,0.42776,
78.9999,0.427789,
79.4999,0.428619,
79.9999,0.428955,
80.5,0.429623,
80.9999,0.430223,
81.4999,0.42924,
81.9999,0.430699,
82.4999,0.431627,
82.9999,0.431606,
83.5,0.430425,
83.9999,0.433252,
84.4999,0.43326,
84.9999,0.432748,
85.4999,0.432909,
85.9999,0.43428,
86.5,0.43452,
87,0.433782,
87.5,0.435293,
87.9999,0.435243,
88.4999,0.434877,
88.9999,0.435426,
89.4999,0.435455,
89.9999,0.435364,
90.4999,0.436763,
90.9999,0.437164,
91.4999,0.437616,
91.9999,0.438175,
92.5,0.438255,
93,0.439076,
93.4999,0.438922,
93.9999,0.439366,
94.4999,0.439043,
94.9999,0.438784,
95.4999,0.440472,
95.9999,0.44133,
96.4999,0.441114,
96.9999,0.441679,
97.5,0.4407,
97.9999,0.441599,
98.5,0.440768,
99,0.443078,
99.4999,0.443521,
99.9999,0.443779,
100.5,0.443066,
101,0.4438,
101.5,0.443421,
102,0.444925,
102.5,0.445682,
103,0.445927,
103.5,0.446359,
104,0.445791,
104.5,0.446461,
105,0.446539,
105.5,0.447031,
106,0.448242,
106.5,0.447275,
107,0.447894,
107.5,0.448217,
108,0.448554,
108.5,0.448443,
109,0.449222,
109.5,0.451646,
110,0.449933,
110.5,0.450334,
111,0.450836,
111.5,0.4509,
112,0.452479,
112.5,0.45153,
113,0.452166,
113.5,0.45277,
114,0.452981,
114.5,0.453122,
115,0.453642,
115.5,0.454512,
116,0.454422,
116.5,0.45444,
117,0.455224,
117.5,0.456214,
118,0.455969,
118.5,0.455736,
119,0.456107,
119.5,0.456062,
120,0.456912,
120.5,0.457893,
121,0.457603,
121.5,0.458926,
122,0.459551,
122.5,0.45904,
123,0.458869,
123.5,0.459905,
124,0.460306,
124.5,0.459947,
125,0.461056,
125.5,0.461364,
126,0.461686,
126.5,0.462502,
127,0.462482,
127.5,0.462778,
128,0.463726,
128.5,0.463872,
129,0.464018,
129.5,0.46503,
130,0.464217,
130.5,0.465669,
131,0.465858,
131.5,0.465787,
132,0.465923,
132.5,0.466837,
133,0.467826,
133.5,0.467165,
134,0.467683,
134.5,0.467635,
135,0.468968,
135.5,0.469056,
136,0.47001,
136.5,0.471216,
137,0.469985,
137.5,0.471448,
138,0.469786,
138.5,0.470672,
139,0.472683,
139.5,0.472097,
140,0.473034,
140.5,0.473349,
141,0.473509,
141.5,0.47319,
142,0.475352,
142.5,0.474557,
143,0.475915,
143.5,0.474256,
144,0.475444,
144.5,0.476453,
145,0.477427,
145.5,0.478086,
146,0.47712,
146.5,0.478956,
147,0.478917,
147.5,0.479546,
148,0.479388,
148.5,0.479492,
149,0.480565,
149.5,0.479729,
150,0.481023,
150.5,0.481989,
151,0.482791,
151.5,0.483449,
152,0.483587,
152.5,0.483457,
153,0.484421,
153.5,0.48577,
154,0.485897,
154.5,0.485866,
155,0.486081,
155.5,0.487491,
156,0.487207,
156.5,0.488817,
157,0.489128,
157.5,0.489649,
158,0.49029,
158.5,0.490403,
159,0.49026,
159.5,0.491842,
160,0.491493,
160.5,0.492243,
