time,A2022,time,B2052,time,C2047,,,
41,4.98896,41,4.98382,41,0.0158788,4.9679412,4.9733567,24.70734365
41.4999,4.98873,41.4999,4.98351,41.4999,0.0163654,4.9671446,4.9726331,24.69978765
42,4.98874,42,4.98343,42,0.017058,4.966372,4.971854,24.69207649
42.5,4.98808,42.5,4.98267,42.5,0.01717,4.9655,4.9711523,24.68425675
42.9999,4.98791,42.9999,4.9824,42.9999,0.0177446,4.9646554,4.9703827,24.67623731
43.4999,4.98762,43.4999,4.98199,43.4999,0.0181634,4.9638266,4.9697219,24.66883776
43.9999,4.98715,43.9999,4.98151,43.9999,0.0184236,4.9630864,4.9689787,24.66147061
44.4999,4.98687,44.4999,4.98114,44.4999,0.0189129,4.9622271,4.9682484,24.65357685
44.9999,4.98649,44.9999,4.98066,44.9999,0.0193051,4.9613549,4.9674958,24.64550963
45.4999,4.98625,45.4999,4.98039,45.4999,0.0198192,4.9605708,4.9667574,24.63795173
45.9999,4.98603,45.9999,4.98003,45.9999,0.020444,4.959586,4.9659372,24.62899261
46.5,4.98548,46.5,4.97944,46.5,0.0206904,4.9587496,4.9651247,24.62081012
46.9999,4.98533,46.9999,4.97912,46.9999,0.021285,4.957835,4.9644028,24.61268996
47.4999,4.9847,47.4999,4.9784,47.4999,0.0213763,4.9570237,4.9636145,24.60475471
48,4.98413,48,4.97778,48,0.0215932,4.9561868,4.9628464,24.59679382
48.4999,4.98387,48.4999,4.97751,48.4999,0.0222507,4.9552593,4.9620449,24.58821914
49,4.98389,49,4.97742,49,0.0229835,4.9544365,4.961219,24.5800445
49.5,4.98317,49.5,4.97662,49.5,0.0231222,4.9534978,4.9604612,24.57163364
50,4.98306,50,4.97641,50,0.0237431,4.9526669,4.9596696,24.56359146
50.4999,4.98242,50.4999,4.97574,50.4999,0.024027,4.951713,4.9587619,24.55436576
50.9999,4.98219,50.9999,4.9754,50.9999,0.0246403,4.9507597,4.9579176,24.54545865
51.5,4.9819,51.5,4.97504,51.5,0.0251906,4.9498494,4.9570628,24.53671433
51.9999,4.98148,51.9999,4.97458,51.9999,0.0256225,4.9489575,4.9562416,24.52822904
52.4999,4.98123,52.4999,4.97424,52.4999,0.026242,4.947998,4.9553881,24.51925041
53,4.98032,53,4.97324,53,0.0261685,4.9470715,4.9545,24.51026575
53.4999,4.98025,53.4999,4.97309,53.4999,0.0270059,4.9460841,4.9536684,24.50126051
53.9999,4.97999,53.9999,4.97276,53.9999,0.0275607,4.9451993,4.9528186,24.49267507
54.5,4.97936,54.5,4.97207,54.5,0.0278425,4.9442275,4.9519369,24.4835026
55,4.97886,55,4.97154,55,0.0282466,4.9432934,4.9510441,24.47446362
55.4999,4.97858,55.4999,4.97115,55.4999,0.0288483,4.9423017,4.9501194,24.46498353
55.9999,4.97824,55.9999,4.97071,55.9999,0.0293812,4.9413288,4.9492336,24.45579053
56.5,4.97758,56.5,4.96997,56.5,0.0296064,4.9403636,4.9483378,24.44658795
56.9999,4.97742,56.9999,4.96974,56.9999,0.0304607,4.9392793,4.947393,24.43655583
57.4999,4.97704,57.4999,4.9693,57.4999,0.0310009,4.9382991,4.9464782,24.42718884
58,4.97645,58,4.96862,58,0.0313358,4.9372842,4.9455194,24.41743479
58.4999,4.97594,58.4999,4.96806,58.4999,0.0317443,4.9363157,4.9446127,24.4081693
59,4.97572,59,4.96773,59,0.0324135,4.9353165,4.9437126,24.39878637
59.4999,4.97525,59.4999,4.9672,59.4999,0.0328274,4.9343726,4.9428552,24.38988926
59.9999,4.97474,59.9999,4.96661,59.9999,0.0333244,4.9332856,4.9418542,24.37957816
