
time,A3624,time,B1464,
137.5,104.339,137.5,40.2439,
138,104.356,138,40.244,
138.5,104.373,138.5,40.2439,
139,104.389,139,40.244,
139.5,104.406,139.5,40.2441,
140,104.423,140,40.2441,
140.5,104.439,140.5,40.244,
141,104.456,141,40.244,
141.5,104.473,141.5,40.244,
142,104.489,142,40.244,
142.5,104.506,142.5,40.2441,
143,104.523,143,40.244,
143.5,104.539,143.5,40.2441,
144,104.556,144,40.2442,
144.5,104.572,144.5,40.2442,
145,104.589,145,40.2441,
145.5,104.606,145.5,40.2443,
146,104.622,146,40.2442,
146.5,104.639,146.5,40.2441,
147,104.656,147,40.2443,
147.5,104.672,147.5,40.2442,
148,104.689,148,40.2441,
148.5,104.706,148.5,40.2442,
149,104.722,149,40.2443,
149.5,104.739,149.5,40.2442,
150,104.756,150,40.2441,
150.5,104.773,150.5,40.2442,
151,104.789,151,40.2443,
151.5,104.806,151.5,40.2442,
152,104.822,152,40.2441,
152.5,104.839,152.5,40.2442,
153,104.856,153,40.2443,
153.5,104.873,153.5,40.244,
154,104.889,154,40.2441,
154.5,104.906,154.5,40.2441,
155,104.923,155,40.2441,
155.5,104.939,155.5,40.2441,
156,104.956,156,40.244,
156.5,104.973,156.5,40.2441,
157,104.989,157,40.244,
157.5,105.006,157.5,40.244,
158,105.023,158,40.244,
158.5,105.04,158.5,40.2439,
159,105.056,159,40.2438,
159.5,105.073,159.5,40.2439,
160,105.09,160,40.2438,
160.5,105.106,160.5,40.2438,
161,105.123,161,40.2437,
161.5,105.14,161.5,40.2437,
162,105.156,162,40.2436,
162.5,105.173,162.5,40.2436,
163,105.19,163,40.2434,
163.5,105.206,163.5,40.2435,
164,105.223,164,40.2435,
164.5,105.24,164.5,40.2434,
165,105.257,165,40.2433,
165.5,105.274,165.5,40.2431,
166,105.29,166,40.2432,
166.5,105.307,166.5,40.2431,
167,105.324,167,40.2429,
167.5,105.34,167.5,40.2429,
168,105.357,168,40.2429,
168.5,105.374,168.5,40.2427,
169,105.391,169,40.2425,
169.5,105.407,169.5,40.2425,
170,105.424,170,40.2424,
170.5,105.441,170.5,40.2423,
171,105.458,171,40.2422,
171.5,105.475,171.5,40.2421,
172,105.491,172,40.2419,
172.5,105.508,172.5,40.2419,
173,105.525,173,40.2417,
173.5,105.542,173.5,40.2416,
174,105.559,174,40.2415,
174.5,105.575,174.5,40.2412,
175,105.592,175,40.241,
175.5,105.609,175.5,40.2411,
176,105.626,176,40.241,
176.5,105.643,176.5,40.2407,
177,105.66,177,40.2406,
177.5,105.676,177.5,40.2403,
178,105.693,178,40.2402,
178.5,105.71,178.5,40.24,
179,105.727,179,40.2397,
179.5,105.744,179.5,40.2395,
180,105.761,180,40.2393,
180.5,105.777,180.5,40.2391,
181,105.794,181,40.239,
181.5,105.811,181.5,40.2387,
182,105.828,182,40.2385,
182.5,105.845,182.5,40.2382,
183,105.862,183,40.2381,
183.5,105.879,183.5,40.2378,
184,105.896,184,40.2376,
184.5,105.913,184.5,40.2374,
185,105.93,185,40.237,
185.5,105.947,185.5,40.2367,
186,105.963,186,40.2365,
186.5,105.98,186.5,40.2363,
187,105.997,187,40.2359,
187.5,106.014,187.5,40.2357,
188,106.031,188,40.2355,
188.5,106.048,188.5,40.2351,
189,106.065,189,40.2348,
189.5,106.082,189.5,40.2345,
190,106.099,190,40.2343,
190.5,106.116,190.5,40.234,
191,106.133,191,40.2336,
191.5,106.15,191.5,40.2332,
192,106.167,192,40.2329,
192.5,106.184,192.5,40.2325,
193,106.201,193,40.2322,
193.5,106.218,193.5,40.2318,
194,106.235,194,40.2317,
194.5,106.252,194.5,40.2313,
195,106.269,195,40.2308,
195.5,106.286,195.5,40.2304,
196,106.303,196,40.23,
196.5,106.32,196.5,40.2296,
197,106.337,197,40.2293,
197.5,106.354,197.5,40.229,
198,106.371,198,40.2286,
198.5,106.389,198.5,40.2283,
199,106.406,199,40.2279,
199.5,106.423,199.5,40.2274,
200,106.44,200,40.227,
200.5,106.457,200.5,40.2265,
201,106.474,201,40.2262,
201.5,106.491,201.5,40.2258,
202,106.508,202,40.2254,
202.5,106.525,202.5,40.2247,
203,106.542,203,40.2244,
203.5,106.559,203.5,40.2239,
204,106.577,204,40.2234,
204.5,106.594,204.5,40.223,
205,106.611,205,40.2226,
205.5,106.628,205.5,40.2221,
206,106.645,206,40.2216,
206.5,106.662,206.5,40.2212,
207,106.679,207,40.2208,
207.5,106.696,207.5,40.2203,
208,106.714,208,40.2197,
208.5,106.731,208.5,40.2193,
209,106.748,209,40.2187,
209.5,106.765,209.5,40.2183,
210,106.782,210,40.2178,
210.5,106.799,210.5,40.2173,
211,106.817,211,40.2167,
211.5,106.834,211.5,40.2162,
