time,A3364,time,B3085,time,C2805,time,D1964,,,,,,,time,,,,,,,,,,,
23,0.352601,23,0.352995,23,0.353118,23,0.352725,8.818125,,1.114268054,0.316553094,7.913827347,7.859826587,23,8.000870675,200.0217669,41.9564  0.0673,,,24.91654752,0.3593824,,0.006223333,8.000870675,320.034827
23.4999,0.355147,23.4999,0.355358,23.4999,0.35537,23.4999,0.355275,8.881875,,1.114998229,0.318632793,7.965819831,7.929243192,23.4999,8.05682203,201.4205507,41.9564  0.0689,,,24.91320204,0.3623204,,0.006468333,8.05682203,322.2728812
24,0.357197,24,0.357416,24,0.357267,24,0.357081,8.927025,,1.112243959,0.321045574,8.026139347,8.000870675,24,8.096984992,202.4246248,41.9564  0.0706,,,24.90916391,0.3647766,,0.0067,8.096984992,323.8793997
24.4999,0.358709,24.4999,0.358775,24.4999,0.359148,24.4999,0.358752,8.9688,,1.107574279,0.323907847,8.097696176,8.05682203,24.4999,8.136964446,203.4241112,41.9563  0.0722,,,24.90531156,0.3670446,,0.00695,8.136964446,325.4785778
25,0.360238,25,0.360524,25,0.361058,25,0.360339,9.008475,,1.107014197,0.325505311,8.137632766,8.096984992,25,8.17425502,204.3563755,41.9563  0.0738,,,24.90136639,0.3691346,,0.007203333,8.17425502,326.9702008
25.4999,0.362377,25.4999,0.362814,25.4999,0.362552,25.4999,0.362302,9.05755,,1.114573502,0.325058867,8.12647168,8.136964446,25.4999,8.208823988,205.2205997,42.511  0.0755,,,24.89738139,0.3713232,,0.007435,8.208823988,328.3529595
26,0.36391,26,0.363792,26,0.36437,26,0.363537,9.088425,,1.110232291,0.327442287,8.186057163,8.17425502,26,8.288878571,207.2219643,42.511  0.0771,,,24.89283071,0.3729994,,0.007688333,8.288878571,331.5551428
26.4999,0.365027,26.4999,0.365611,26.4999,0.36605,26.4999,0.364851,9.121275,,1.106030258,0.329874339,8.24685847,8.208823988,26.4999,8.321947478,208.048687,42.5109  0.0787,,,24.88823752,0.3745078,,0.007941667,8.321947478,332.8778991
27,0.36631,27,0.366915,27,0.367198,27,0.366611,9.165275,,1.107464497,0.331036346,8.275908639,8.288878571,27,8.366169497,209.1542374,42.511  0.0771,,,24.88341782,0.3761686,,0.008195,8.366169497,334.6467799
27.4999,0.367343,27.4999,0.368096,27.4999,0.368635,27.4999,0.367204,9.1801,,1.086828093,0.3378676,8.446690012,8.321947478,27.4999,8.394250574,209.8562644,43.0657  0.0755,,,24.87864168,0.3776002,,0.008448333,8.394250574,335.770023
27.9999,0.368979,27.9999,0.369091,27.9999,0.369611,27.9999,0.369082,9.22705,,1.109242709,0.332733312,8.318332791,8.366169497,27.9999,8.388175496,209.7043874,43.0657  0.0738,,,24.87366602,0.3792294,,0.008686667,8.388175496,335.5270198
